;L, μμ;vt18u,nacro2,200,2000.csv;Result;fail;Predict
309;1043,3333333333333;449,856;440,5933877066479;85,79598649695757;448,20586468289423
310;1046,6666666666667;487,0079999999999;440,6683334540213;2147,3646955924896;448,2666241592324
311;1050,0;514,3439999999999;440,74327920139467;5417,0661020742455;448,3273836355706
312;1053,3333333333333;501,456;440,81822494876803;3676,939763163812;448,38814311190873
313;1056,6666666666667;491,088;440,89317069614145;2519,520888843499;448,4489025882469
314;1060,0;523,776;440,9681164435148;6857,145579104402;448,5096620645851
315;1063,3333333333333;500,928;441,04306219088824;3586,2057764011834;448,57042154092323
316;1066,6666666666667;470,496;441,1180079382616;863,0664175795634;448,6311810172614
317;1070,0;474,432;441,19295368563496;1104,834199888505;448,6919404935996
318;1073,3333333333333;461,952;441,2678994330084;427,83201626542296;448,75269996993774
319;1076,6666666666667;461,28;441,34284518038174;397,4901423014264;448,8134594462759
320;1080,0;471,192;441,4177909277551;886,5035258777506;448,87421892261403
321;1083,3333333333333;457,992;441,4927366751285;272,2256902634495;448,93497839895224
322;1086,6666666666667;470,52;441,5676824225019;838,2366931083051;448,9957378752904
323;1090,0;477,528;441,64262816987525;1287,7599113863123;449,05649735162854
324;1093,3333333333333;489,792;441,71757391724867;2311,1504431859184;449,11725682796674
325;1096,6666666666667;454,344;441,79251966462203;157,53965860937961;449,1780163043049
326;1100,0;429,36;441,86746541199545;156,43669103226227;449,23877578064304
327;1103,3333333333333;385,656;441,9424111593688;3168,1600812015176;449,29953525698124
328;1106,6666666666667;383,112;442,0173569067422;3469,841072310676;449,3602947333194
329;1110,0;373,104;442,0923026541156;4759,385903095856;449,42105420965754
330;1113,3333333333333;403,656;442,16724840148896;1483,1162534411856;449,4818136859957
331;1116,6666666666667;499,8;442,2421941488623;3312,9010143972596;449,5425731623339
332;1120,0;501,9359999999999;442,31713989623574;3554,408480072204;449,60333263867204
333;1123,3333333333333;519,024;442,3920856436091;5872,450297925228;449,6640921150102
334;1126,6666666666667;505,536;442,46703139098247;3977,6948014052386;449,7248515913484
335;1130,0;501,0;442,5419771383559;3417,3404368925053;449,78561106768655
336;1133,3333333333333;430,2;442,61692288572925;154,17997395014714;449,8463705440247
337;1136,6666666666667;448,152;442,6918686331027;29,813034543775938;449,9071300203629
